作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,検出書籍名,著者,ジャンルから,検索方法,アクション
ISBNから,2021-09-01 05:41:53,非会員,,,,dq62,注文の多い料理店,宮沢 賢治,,,詳細を見る,
ISBNから,2021-09-01 06:45:00,非会員,,,,dq61,エルマーのぼうけん,ガネット ルース,,,詳細を見る,
ISBNから,2021-09-01 10:31:53,非会員,,,,dq50,トロッコ,芥川 龍之介,,,詳細を見る,
ISBNから,2021-09-01 12:20:08,非会員,,,,dq56,僕たちの戦争,荻原 浩,,,詳細を見る,
ISBNから,2021-09-01 12:28:48,非会員,,,,dq46,大どろぼうホッツェンプロッツ,プロイスラー オトフリート,,,詳細を見る,
ISBNから,2021-09-01 13:21:23,非会員,,,,dq56,僕たちの戦争,荻原 浩,,,詳細を見る,
ISBNから,2021-09-01 16:11:50,yukari05831k,58,神奈川県,藤沢市,dq54,思考の整理学,外山 滋比古,,,詳細を見る,
