作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,検出書籍名,著者,ジャンルから,検索方法,アクション
ISBNから,2021-08-30 14:18:12,非会員,,,,dq61,エルマーのぼうけん,ガネット ルース,,,詳細を見る,
ISBNから,2021-08-30 16:50:36,非会員,,,,dq60,くまの子ウーフ,神沢 利子,,,詳細を見る,
ISBNから,2021-08-30 17:38:05,非会員,,,,dq55,読書力,齋藤 孝,,,詳細を見る,
ISBNから,2021-08-30 17:59:36,非会員,,,,dq29,最後の一枚の葉,ヘンリー オー,,,詳細を見る,
